,id,name,description,year,rating,votes,movie_length,age_rating,genres,countries
0,5921398,Гатчина. Молчание Сильвии,История 867 дней фашистской оккупации Гатчины в годы Великой Отечественной войны.,2024,8.639,272,-1,18,документальный|военный,Россия
1,5613191,Цвета зла: Красный,"На пляже находят тело молодой девушки. Расследование возглавляет амбициозный и упорный прокурор Леопольд Бильский. К расследованию подключается и мать жертвы, судья Хелена Богуцкая. Все улики ведут в один из приморских клубов, который оказывается связан с убийством женщины 15-летней давности.",2024,6.184,308,111,-1,триллер|драма|криминал|детектив,Польша
2,5461786,Самые опасные существа,"Какое животное самое опасное для человека? Лев? Тигр? Да, это и вправду свирепые хищники, иногда нападающие на людей. Но гораздо больше людей погибло от нападения бегемотов или буйволов, а также домашних коров, свиней и собак.",2021,8.733,1144,50,6,реальное ТВ,Германия
3,5581051,Без границ,"Детектив Мёрк и его команда возобновляют нераскрытое дело на острове Борнхольм, связанное со смертью девушки, сектой и пропавшими без вести женщинами.",2024,5.884,157,121,-1,триллер|криминал,Дания
4,5516923,Мать невесты,"Любящая мать прилетает на тропический остров на свадьбу дочери и обнаруживает, что отец жениха — её бывший, которого она не видела много лет.",2024,5.424,413,88,-1,драма|мелодрама|комедия,США
5,5509097,Шах и мат,"Жизнь Канделы в одночасье кардинально меняется, и она из успешной преподавательницы элитного колледжа превращается в простую училку в не самой лучшей школе «на районе». Теперь ей придется обучать трудных подростков из неблагополучных семей. Благодаря Канделе у компании школьных аутсайдеров появляется реальный шанс стать чемпионами страны по шахматам.
Ведь в шахматах — как и в жизни — не имеет значения, король ты или пешка. Главное — сделать верный ход.",2024,6.621,536,99,18,комедия,Испания
6,5461779,Самые милые существа,"Если бы вас попросили назвать самое милое животное на свете, вам наверняка было бы трудно определиться с ответом. Коала? Пингвин? Большеглазый олененок? Пушистый белек, детеныш тюленя? Белый медвежонок? Давайте попробуем выбрать вместе.",2021,9.191,1035,50,6,реальное ТВ,Германия
7,5507483,Маргиналы,Отдыхающей за городом семье с двумя детьми-подростками приходится противостоять местным маргиналам.,2024,6.14,945,90,-1,ужасы,Канада
8,5504191,Пятница 13-е. Новая глава,nan,2024,3.891,279,88,-1,ужасы|боевик|триллер|детектив,США
9,5502381,Мишель Гондри: DIY,"История главного фантазера в современном кино — от клипов Бьорк, White Stripes и Daft Punk до Голливуда и «Оскара».",2023,8.242,187,80,18,документальный,Франция
10,5501674,Паук,"Старшеклассника Паркера кусает радиоактивный паук, после чего парень получает сверхъестественные способности.",2024,7.11,822,9,-1,короткометражка|ужасы,США
