,id,name,description,year,rating,votes,movie_length,age_rating,genres,countries
0,838754,None,None,2013,7.114,110,79,-1,документальный|комедия,Великобритания
1,1043231,None,None,2009,6.439,122,4,-1,мюзикл|музыка|короткометражка,Великобритания|США|Италия
2,1236773,None,None,2017,6.397,120,5,-1,короткометражка|музыка,США
3,877112,None,None,2011,6.751,432,6,-1,фэнтези|музыка,США
4,95331,Дневники «Красной Туфельки» 7: Похищение,,1997,5.514,163,85,18,драма,США
5,951966,Дара О’Бриэн: Любимец публики,None,2015,7.288,126,94,-1,комедия,Великобритания
6,477729,Эльдорадо,"Стэнли и Оливер Розенблюмы, незадачливые еврейские артисты, едут на очередное выступление в затерянный в калифорнийской пустыне легендарный городок Эльдорадо. Туда же направляется стриптизёрша Джессика, стащившая у мужа чемодан денег и подавшаяся в бега. Путь до желанного посёлка долог и полон встреч с разными эксцентричными типами, да и жители самого Эльдорадо на поверку оказываются кровожадным сборищем каннибалов.",2012,5.181,118,158,-1,ужасы|комедия|вестерн|музыка,Великобритания
7,576078,60-я церемония вручения премии «Золотой глобус»,None,2003,5.971,177,-1,-1,церемония,США
8,399904,None,Сборник клипов группы Nine Inch Nails.,1997,8.592,180,91,18,документальный|музыка,США
9,422928,None,None,2004,8.567,146,81,-1,документальный|музыка|концерт,Великобритания|США
10,328847,Дневники «Красной туфельки» 18: Игра,None,2000,5.261,108,77,16,драма,США
11,952494,None,None,2013,6.216,234,4,-1,короткометражка|музыка,США
12,669468,Восьмой день,"Пост-апокалиптическое будущее... Очнувшаяся от криогенного сна, Саманта обнаруживает, что мир вокруг нее изменился безвозвратно. Оставшись одна в этом городе беззакония, наводненном зверскими племенами прото-людей, обезумевших от сексуального жара, Саманта погибла бы, если б не Амбер Рэйн - девушка из подземелья, спасшая ее от опасности. Но оставаться в городе Саманте нельзя и ее единственная надежда на спасение находится в руках харизматичного правителя пустынной деревушки, известной под названием «Поля блаженных». Когда же принц Амир обнаруживает всю правду о том, кем на самом деле является Саманта, он заставляет ее принести последнюю жертву…",2009,6.0,108,101,18,для взрослых|фантастика|приключения,США
13,915805,Линдеманн: Praise Abort,Ролик посвящён теме абортов.,2015,7.698,476,5,18,короткометражка|музыка,Германия
14,757162,None,None,1998,7.977,93,85,-1,документальный|музыка,США
