,id,name,description,year,rating,votes,movie_length,age_rating,genres,countries
0,5921398,Гатчина. Молчание Сильвии,История 867 дней фашистской оккупации Гатчины в годы Великой Отечественной войны.,2024,8.637,3531,0,18,документальный|военный,Россия
1,5613191,Цвета зла: Красный,"На пляже находят тело молодой девушки. Расследование возглавляет амбициозный и упорный прокурор Леопольд Бильский. К расследованию подключается и мать жертвы, судья Хелена Богуцкая. Все улики ведут в один из приморских клубов, который оказывается связан с убийством женщины 15-летней давности.",2024,6.253,439,111,0,триллер|драма|криминал|детектив,Польша
2,5611775,nan,nan,2024,6.46,115,101,0,триллер|драма|криминал,Испания|Бельгия|Франция
3,5461825,Что видят животные,"Как животные воспринимают окружающий мир? Как зрение животного связано с его местом в природе? Профессор Томас Кронин рассказывает, как устроены самые сложные и необычные глаза в царстве животных, и как у животных вообще появились органы зрения.",2018,7.889,746,28,6,короткометражка|реальное ТВ,США
4,5595677,Тастаймын-ау сени,"Жарас и Алмагуль женаты уже более десяти лет. Жарас работает в большой компании на хорошей должности, Алмагуль не работает, но хочет развиваться как личность. Ни о чем не спрашивая Алмагуль, Жарас покрывает её нужды лишь деньгами. Из-за пренебрежения Алмагуль начинает пьянствовать. Однажды, напившись, Алмагуль позорит Жараса перед его начальником. Не выдержав такого, на следующий день Жарас решает отправить жену на лечение к одному из сильнейших лекарей.",2024,6.853,16508,90,18,комедия|ужасы,Казахстан
5,5461786,Самые опасные существа,"Какое животное самое опасное для человека? Лев? Тигр? Да, это и вправду свирепые хищники, иногда нападающие на людей. Но гораздо больше людей погибло от нападения бегемотов или буйволов, а также домашних коров, свиней и собак.",2021,8.594,2052,50,6,реальное ТВ,Германия
6,5518069,Ненастоящий детектив,"Эмили Нестор из Западной Виргинии с детства хотела быть похожей на агента Клариссу Старлинг из «Молчания ягнят». Маньяков в ее родном местечке, увы, нет, зато недавно на трассе в странной аварии погибла молодая женщина. Ходят слухи, что это была не авария, а убийство, а полиция то ли плохо сделала свое дело, то ли покрывает преступников. Эмили, до этого работавшая официанткой в стрип-клубе, решает докопаться до правды и запускает собственное расследование в формате подкаста. Ее поддерживает семья погибшей, подкаст выходит в топы, появляются большие рекламные контракты, но спустя время новой звезде тру-крайма придется сделать трудный выбор, который изменит все.",2023,6.9,112,82,18,документальный,США
7,5581051,Без границ,"Детектив Мёрк и его команда возобновляют нераскрытое дело на острове Борнхольм, связанное со смертью девушки, сектой и пропавшими без вести женщинами.",2024,5.918,190,121,0,триллер|криминал,Дания|Германия|Швеция|Эстония
8,5516923,Мать невесты,"Любящая мать прилетает на тропический остров на свадьбу дочери и обнаруживает, что отец жениха — её бывший, которого она не видела много лет.",2024,5.5,524,88,0,драма|мелодрама|комедия,США
9,5509073,Цена соблазна,"Матьё — верный муж и преданный друг, умеющий хранить секреты. Однажды, пытаясь уладить конфликт с новой любовницей лучшего друга, он сам неожиданно влюбляется в девушку. Внезапно её находят мёртвой, и героев затягивает в водоворот интриг, подозрений и лжи.",2023,5.824,351,85,18,триллер|драма,Франция|Бельгия
10,5511500,Я – Селин Дион,nan,2024,7.796,160,103,0,документальный|биография|музыка,Канада|США
11,5509097,Шах и мат,"Жизнь Канделы в одночасье кардинально меняется, и она из успешной преподавательницы элитного колледжа превращается в простую училку в не самой лучшей школе «на районе». Теперь ей придется обучать трудных подростков из неблагополучных семей. Благодаря Канделе у компании школьных аутсайдеров появляется реальный шанс стать чемпионами страны по шахматам.
Ведь в шахматах — как и в жизни — не имеет значения, король ты или пешка. Главное — сделать верный ход.",2024,6.622,609,99,18,комедия,Испания
12,5506813,"Там, где танцуют стерхи","Восьмилетний Ваня переживает смерть матери. Он верит, что та превратилась в стерха, и теперь мечтает увидеть стаю этих удивительных птиц.",2024,8.324,425,95,16,драма,Россия
13,4991205,Italian Best Shorts 7: Быть женщиной,"Альманах короткого метра, каждый фильм которого раскрывает разные грани женской идентичности и силы.",2022,6.887,160,92,18,драма|комедия,Италия
